Test,API,Multithreaded,TestName,MinFrameTime,MaxFrameTime,AvgFrameTime,MaxFPS,MinFPS,AvgFPS
1,GL,No,"[GL] SimpleBallsSceneTest",0.24768,0.264886,0.259216,4.03746,3.77521,3.85779
1,GL,Yes,"[GL] MultithreadedBallsSceneTest",0.056756,0.113291,0.0730998,17.6193,8.82683,13.6799
1,VK,No,"[VK] SimpleBallsSceneTest",0.123683,0.127827,0.124711,8.08521,7.82305,8.01852
1,VK,Yes,"[VK] MultithreadedBallsSceneTest",0.0147338,0.199319,0.0264505,67.8712,5.01708,37.8065
2,GL,No,"[GL] TerrainSceneTest",0.0167317,0.0307618,0.0180426,59.7667,32.5079,55.4243
2,VK,No,"[VK] TerrainSceneTest",0.0194689,0.0273012,0.0204211,51.3639,36.6285,48.9689
2,VK,Yes,"[VK] MultithreadedTerrainSceneTest",0.00946073,0.0367495,0.0227466,105.7,27.2112,43.9627
3,GL,No,"[GL] ShadowMappingSceneTest",0.00545213,0.0101586,0.00679944,183.414,98.4383,147.071
3,VK,No,"[VK] ShadowMappingSceneTest",0.00402926,0.00592796,0.00436449,248.184,168.692,229.122
3,VK,Yes,"[VK] MultithreadedShadowMappingSceneTest",0.00128836,0.00758138,0.00254725,776.183,131.902,392.58
4,GL,No,"[GL] InitializationTest",0.145093,0.145093,0.145096,6.89211,6.89211,6.89198
4,VK,No,"[VK] InitializationTest",0.00330026,0.00330026,0.00330173,303.006,303.006,302.871
